Unnamed: 0,Data Name,Target No.,Judgement,L*(D65),a*(D65),b*(D65),Attribute,Target Name,360nm,370nm,380nm,390nm,400nm,410nm,420nm,430nm,440nm,450nm,460nm,470nm,480nm,490nm,500nm,510nm,520nm,530nm,540nm,550nm,560nm,570nm,580nm,590nm,600nm,610nm,620nm,630nm,640nm,650nm,660nm,670nm,680nm,690nm,700nm,710nm,720nm,730nm,740nm,Instrument Name,Variation,Serial No.,Firmware Version,Timestamp,Calibrated Date,Measurement Type,Geometry,Specular Component,Measurement Area,UV Setting,Observer,Illuminant 1,Illuminant 2,Data Number,Comment,Temperature(CM-512m3),User Calibration(CM-512m3A),X(D65),Y(D65),Z(D65),C*(D65),h(D65),L99(D65),a99(D65),b99(D65),C99(D65),h99(D65),x(D65),y(D65),u*(D65),v*(D65),u'(D65),v'(D65),L(Hunter)(D65),a(Hunter)(D65),b(Hunter)(D65),Munsell C Hue,Munsell C Value,Munsell C Chroma,Munsell D65 Hue,Munsell D65 Value,Munsell D65 Chroma,WI(CIE),WI(E313-73),WI(Hunter),WI(TAUBE),WI(STENSBY),WI(BERGER),WI(E313-98)(C),WI(E313-98)(D50),WI(E313-98)(D65),WI(Ganz),Tint(CIE),Tint(E313-98)(C),Tint(E313-98)(D50),Tint(E313-98)(D65),Tint(Ganz),YI(D1925),YI(E313-73),YI(E313-98)(C),YI(E313-98)(D65),YI(DIN6167)(C),YI(DIN6167)(D65),B(E313-73),Brightness(TAPPI),Brightness(ISO),Opacity(ISO 2471),Opacity(T425),Haze(D1003-97)(A),Haze(D1003-97)(C),Status A (B),Status A (G),Status A (R),Status T (B),Status T (G),Status T (R),Rx(C),Rx(D65),Rx(A),Ry(C),Ry(D65),Ry(A),Rz(C),Rz(D65),Rz(A),Standard Depth,GU,Gardner,Hazen/APHA,lodine color number,Ph. EU [AUTO],Ph. EU [B],Ph. EU [BY],Ph. EU [Y],Ph. EU [GY],Ph. EU [R],US Pharmacopeia,8 degree gloss,User Equation 1,User Equation 2,User Equation 3,User Equation 4,User Equation 5,User Equation 6,User Equation 7,User Equation 8,SC.Idx1,SC.Idx2,SC.Idx3,SC.Idx4
1,[Retrieved Data]Target1 (7-10-2024 15:39:25),------,------,87.86,0.38,2.68,Upload spectral data,SCI,6.46,7.53,9.43,15.52,31.78,54.58,67.05,68.40,69.08,69.53,69.63,69.70,69.78,69.93,70.18,70.49,70.81,70.98,71.30,71.69,72.18,72.79,73.18,73.36,73.41,73.32,73.23,73.15,73.02,72.94,72.80,72.69,72.58,72.61,72.39,72.30,72.18,72.12,71.96,CM-26dG,100,10001879,1.22.0001,04/10/2024 17:09,07/10/2024 14:37,Color & Gloss,di:8.de:8,SCI+SCE,SAV(3mm),100% Full,------,(None),(None),-1,------,------,------,68.22,71.77,73.61,2.70,81.94,91.85,1.05,1.65,1.96,57.47,0.3194,0.3360,2.24,3.94,0.1998,0.4730,84.72,0.37,2.50,9.8YR,8.68,0.36,9.9YR,8.68,0.37,58.81,60.32,84.62,59.95,77.94,59.25,59.20,60.56,58.80,------,-1.75,-1.77,-2.45,-1.77,------,6.94,4.04,5.62,5.77,5.42,5.82,69.03,69.12,69.11,------,------,------,------,0.16,0.15,0.14,0.16,0.15,0.13,72.80,72.75,72.96,71.96,71.77,72.25,68.97,68.60,69.00,26.66,21.54,------,------,------,------,------,------,------,------,------,------,56,=,=,=,=,=,=,=,=,Outside,Outside,Outside,Outside
1,[Retrieved Data]Target1 (7-10-2024 15:39:25),------,------,86.65,0.39,2.75,Upload spectral data,SCE,4.53,5.59,7.44,13.48,29.52,52.14,64.56,65.84,66.58,67.07,67.18,67.20,67.30,67.42,67.71,68.00,68.28,68.53,68.83,69.19,69.70,70.29,70.73,70.92,70.93,70.84,70.76,70.67,70.55,70.45,70.31,70.24,70.09,70.05,69.93,69.83,69.71,69.58,69.46,CM-26dG,100,10001879,1.22.0001,04/10/2024 17:09,07/10/2024 14:37,Color & Gloss,di:8.de:8,SCI+SCE,SAV(3mm),100% Full,------,(None),(None),-1,------,------,------,65.87,69.29,70.94,2.78,81.83,91.00,1.09,1.69,2.01,57.33,0.3196,0.3362,2.30,4.03,0.1999,0.4731,83.24,0.38,2.55,9.9YR,8.55,0.37,10.0YR,8.55,0.38,55.84,57.79,83.16,57.43,76.33,56.73,56.22,57.65,55.82,------,-1.82,-1.85,-2.55,-1.85,------,7.16,4.21,5.84,5.99,5.64,6.04,66.54,66.64,66.63,------,------,------,------,0.18,0.16,0.15,0.18,0.16,0.15,70.33,70.27,70.49,69.48,69.29,69.78,66.48,66.11,66.52,26.67,21.54,------,------,------,------,------,------,------,------,------,------,56,=,=,=,=,=,=,=,=,Outside,Outside,Outside,Outside
2,[Retrieved Data]Target2 (7-10-2024 15:39:26),------,------,31.34,48.58,35.11,Upload spectral data,SCI,1.51,1.53,1.39,1.29,1.23,1.18,1.17,1.17,1.17,1.21,1.27,1.35,1.40,1.47,1.52,1.53,1.54,1.56,1.62,1.70,1.90,2.49,4.12,7.78,14.12,22.79,32.06,40.07,46.07,50.29,53.35,55.84,57.60,59.33,60.35,61.25,62.13,62.66,63.30,CM-26dG,100,10001879,1.22.0001,04/10/2024 17:11,07/10/2024 14:37,Color & Gloss,di:8.de:8,SCI+SCE,SAV(3mm),100% Full,------,(None),(None),-1,Target1 (8/2/2024 3:46:36 PM),------,------,12.23,6.80,1.35,59.93,35.86,42.44,27.70,7.00,28.57,14.19,0.6002,0.3336,87.95,19.49,0.4137,0.5174,26.07,40.28,14.18,8.2R,3.16,11.86,8.3R,3.13,11.84,-226.67,-16.74,13.60,-16.75,110.59,-36.30,-243.99,-168.54,-226.69,------,-256.02,-252.76,-260.08,-256.05,------,209.74,82.53,210.64,211.28,218.70,211.25,1.27,1.28,1.28,------,------,------,------,1.92,1.79,0.43,1.89,1.76,0.64,17.19,15.63,19.67,7.28,6.80,10.59,1.27,1.26,1.28,44.58,0.34,------,------,------,------,------,------,------,------,------,------,0,=,=,=,=,=,=,=,=,Inside,Outside,Outside,Outside
2,[Retrieved Data]Target2 (7-10-2024 15:39:26),------,------,31.35,48.47,35.05,Upload spectral data,SCE,1.48,1.53,1.35,1.27,1.23,1.17,1.18,1.15,1.18,1.23,1.28,1.35,1.42,1.47,1.54,1.55,1.55,1.56,1.63,1.72,1.92,2.50,4.13,7.80,14.13,22.76,32.02,40.00,45.95,50.16,53.22,55.69,57.42,59.10,60.24,61.11,61.95,62.45,63.11,CM-26dG,100,10001879,1.22.0001,04/10/2024 17:11,07/10/2024 14:37,Color & Gloss,di:8.de:8,SCI+SCE,SAV(3mm),100% Full,------,(None),(None),-1,Target1 (8/2/2024 3:46:36 PM),------,------,12.22,6.80,1.36,59.81,35.87,42.45,27.66,7.00,28.53,14.20,0.5996,0.3338,87.74,19.50,0.4131,0.5174,26.08,40.17,14.17,8.2R,3.16,11.84,8.3R,3.13,11.81,-226.57,-16.73,13.66,-16.74,110.27,-36.23,-243.88,-168.50,-226.58,------,-255.44,-252.18,-259.55,-255.46,------,209.32,82.45,210.22,210.85,218.25,210.81,1.28,1.28,1.28,------,------,------,------,1.92,1.79,0.43,1.88,1.76,0.64,17.17,15.62,19.65,7.28,6.80,10.59,1.28,1.26,1.29,44.54,0.34,------,------,------,------,------,------,------,------,------,------,0,=,=,=,=,=,=,=,=,Inside,Outside,Outside,Outside
3,[Retrieved Data]Target3 (7-10-2024 15:39:26),------,------,28.25,0.03,-0.58,Upload spectral data,SCI,6.04,5.94,5.85,5.86,5.86,5.78,5.77,5.74,5.70,5.68,5.66,5.63,5.63,5.61,5.59,5.58,5.57,5.56,5.55,5.54,5.54,5.53,5.52,5.52,5.51,5.51,5.52,5.51,5.49,5.49,5.50,5.49,5.48,5.49,5.48,5.46,5.46,5.44,5.40,CM-26dG,100,10001879,1.22.0001,04/10/2024 17:15,07/10/2024 14:37,Color & Gloss,di:8.de:8,SCI+SCE,SAV(3mm),100% Full,------,(None),(None),-1,------,------,------,5.27,5.55,6.10,0.59,273.07,38.94,-0.13,-0.40,0.42,251.84,0.3114,0.3282,-0.25,-0.67,0.1972,0.4677,23.56,0.02,-0.36,5.7PB,2.75,0.11,5.6PB,2.75,0.11,12.19,6.10,23.55,6.07,24.89,6.01,12.39,11.44,12.17,------,0.42,0.39,0.69,0.40,------,-1.35,-2.48,-2.81,-2.80,-2.70,-2.74,5.68,5.67,5.67,------,------,------,------,1.24,1.26,1.26,1.25,1.25,1.26,5.52,5.53,5.52,5.55,5.55,5.54,5.68,5.68,5.67,26.40,84.39,------,------,------,------,------,------,------,------,------,------,90,=,=,=,=,=,=,=,=,Outside,Outside,Outside,Outside
3,[Retrieved Data]Target3 (7-10-2024 15:39:26),------,------,13.09,-0.39,-2.13,Upload spectral data,SCE,2.13,2.11,2.03,1.98,1.99,1.93,1.88,1.84,1.82,1.80,1.75,1.74,1.72,1.69,1.67,1.65,1.63,1.60,1.59,1.59,1.56,1.53,1.51,1.51,1.50,1.47,1.46,1.45,1.43,1.41,1.40,1.38,1.39,1.35,1.35,1.34,1.31,1.31,1.23,CM-26dG,100,10001879,1.22.0001,04/10/2024 17:15,07/10/2024 14:37,Color & Gloss,di:8.de:8,SCI+SCE,SAV(3mm),100% Full,------,(None),(None),-1,------,------,------,1.48,1.58,1.92,2.16,259.52,19.84,-0.93,-1.31,1.60,234.56,0.2977,0.3170,-1.03,-1.71,0.1918,0.4595,12.56,-0.20,-1.11,2.6PB,1.24,0.40,1.9PB,1.24,0.42,38.27,2.43,12.50,2.42,15.87,2.40,38.99,35.11,38.25,------,5.39,5.23,7.49,5.37,------,-15.94,-13.86,-17.64,-17.53,-17.58,-17.46,1.78,1.77,1.77,------,------,------,------,1.74,1.80,1.84,1.75,1.79,1.83,1.50,1.51,1.49,1.57,1.58,1.54,1.78,1.79,1.77,26.44,84.39,------,------,------,------,------,------,------,------,------,------,90,=,=,=,=,=,=,=,=,Outside,Outside,Outside,Outside
4,[Retrieved Data]Target4 (7-10-2024 15:39:26),------,------,38.23,17.81,11.78,Upload spectral data,SCI,6.51,6.57,6.59,6.68,6.79,6.79,6.84,6.84,6.85,6.84,6.79,6.78,6.78,6.79,6.82,6.85,6.91,7.02,7.27,7.76,8.67,10.21,12.41,14.80,16.75,17.99,18.68,19.13,19.51,19.93,20.48,21.13,21.88,22.80,23.71,24.67,25.56,26.21,26.51,CM-26dG,100,10001879,1.22.0001,04/10/2024 17:18,07/10/2024 14:37,Color & Gloss,di:8.de:8,SCI+SCE,SAV(3mm),100% Full,------,(None),(None),-1,------,------,------,12.07,10.21,7.32,21.35,33.48,49.85,14.36,3.17,14.71,12.43,0.4078,0.3450,29.82,10.64,0.2579,0.4910,31.96,13.55,7.09,8.8R,3.77,3.95,8.8R,3.75,3.97,-88.81,-4.24,30.65,-4.28,48.93,-11.68,-94.05,-74.88,-88.82,------,-75.41,-73.06,-84.39,-75.43,------,71.96,35.08,71.42,71.41,73.82,71.43,6.83,6.81,6.81,------,------,------,------,1.17,1.14,0.72,1.17,1.12,0.75,14.59,14.12,15.28,10.53,10.21,11.87,6.83,6.82,6.82,30.28,7.15,------,------,------,------,------,------,------,------,------,------,19,=,=,=,=,=,=,=,=,Outside,Outside,Outside,Outside
4,[Retrieved Data]Target4 (7-10-2024 15:39:26),------,------,36.72,18.59,12.63,Upload spectral data,SCE,5.63,5.74,5.82,5.88,5.93,5.96,6.00,6.00,6.01,6.00,5.96,5.98,5.98,5.98,6.02,6.05,6.11,6.21,6.46,6.95,7.86,9.37,11.56,13.95,15.88,17.11,17.81,18.26,18.64,19.07,19.57,20.24,21.00,21.90,22.83,23.79,24.65,25.27,25.61,CM-26dG,100,10001879,1.22.0001,04/10/2024 17:18,07/10/2024 14:37,Color & Gloss,di:8.de:8,SCI+SCE,SAV(3mm),100% Full,------,(None),(None),-1,------,------,------,11.27,9.39,6.43,22.48,34.19,48.28,14.86,3.42,15.25,12.95,0.4160,0.3466,31.10,11.20,0.2630,0.4930,30.64,14.03,7.39,9.1R,3.62,4.13,9.1R,3.61,4.16,-98.84,-5.06,29.25,-5.10,48.01,-12.43,-104.64,-83.12,-98.86,------,-81.85,-79.34,-91.13,-81.87,------,77.89,38.06,77.42,77.44,79.84,77.46,6.00,5.99,5.99,------,------,------,------,1.22,1.19,0.74,1.22,1.17,0.78,13.74,13.27,14.42,9.70,9.39,11.03,6.00,5.99,6.00,30.66,7.15,------,------,------,------,------,------,------,------,------,------,19,=,=,=,=,=,=,=,=,Outside,Outside,Outside,Outside
5,[Retrieved Data]Target5 (7-10-2024 15:39:26),------,------,93.20,-0.69,4.16,Upload spectral data,SCI,7.23,8.69,11.44,20.29,40.84,65.47,76.46,77.08,77.78,78.40,78.08,78.98,81.66,83.16,83.49,83.62,83.35,82.77,82.89,83.26,83.25,83.47,84.25,85.05,85.37,85.27,85.06,84.97,84.91,84.91,84.75,84.59,84.32,84.44,84.40,84.60,84.96,85.13,85.17,CM-26dG,100,10001879,1.22.0001,04/10/2024 17:19,07/10/2024 14:37,Color & Gloss,di:8.de:8,SCI+SCE,SAV(3mm),100% Full,------,(None),(None),-1,------,------,------,78.75,83.43,83.73,4.21,99.47,95.51,0.45,2.75,2.79,80.71,0.3203,0.3393,1.62,6.38,0.1992,0.4748,91.34,-0.69,3.95,6.3Y,9.23,0.44,7.2Y,9.23,0.45,64.22,63.35,90.52,62.93,76.78,64.67,64.44,66.67,64.20,------,-0.41,-0.49,-1.30,-0.43,------,8.63,6.06,7.35,7.45,7.07,7.50,78.53,78.58,78.57,------,------,------,------,0.11,0.08,0.07,0.10,0.08,0.07,84.29,84.25,84.57,83.62,83.43,83.91,78.46,78.03,78.70,27.04,16.57,------,------,------,------,------,------,------,------,------,------,1863,=,=,=,=,=,=,=,=,Outside,Outside,Outside,Outside
5,[Retrieved Data]Target5 (7-10-2024 15:39:26),------,------,12.83,-0.12,1.18,Upload spectral data,SCE,0.24,0.24,0.30,0.47,0.82,1.21,1.40,1.40,1.42,1.44,1.43,1.44,1.51,1.53,1.53,1.54,1.54,1.51,1.51,1.54,1.53,1.53,1.55,1.57,1.58,1.57,1.57,1.58,1.57,1.58,1.57,1.59,1.58,1.57,1.57,1.59,1.60,1.60,1.53,CM-26dG,100,10001879,1.22.0001,04/10/2024 17:19,07/10/2024 14:37,Color & Gloss,di:8.de:8,SCI+SCE,SAV(3mm),100% Full,------,(None),(None),-1,------,------,------,1.45,1.54,1.53,1.18,95.97,19.48,0.20,0.80,0.83,75.81,0.3211,0.3397,0.30,0.94,0.1996,0.4752,12.39,-0.06,0.57,7.4Y,1.23,0.16,8.0Y,1.22,0.26,-19.06,1.14,12.40,1.13,10.38,1.16,-18.99,-16.58,-19.08,------,-0.91,-0.95,-1.94,-0.93,------,9.40,6.56,8.13,8.20,7.87,8.25,1.44,1.44,1.44,------,------,------,------,1.85,1.82,1.80,1.84,1.82,1.80,1.56,1.55,1.56,1.54,1.54,1.55,1.44,1.43,1.44,26.46,16.57,------,------,------,------,------,------,------,------,------,------,1863,=,=,=,=,=,=,=,=,Outside,Outside,Outside,Outside
